"tractID","CCA","blocks","pop","HH","pctPop","pctHH"
"17031170500","DUNNING",113,6314,2683,1,1
"17031170600","DUNNING",74,3721,1618,1,1
"17031170700","DUNNING",66,4992,2471,1,1
"17031170800","DUNNING",67,3303,1434,1,1
"17031170900","DUNNING",30,1001,359,1,1
"17031171000","DUNNING",149,7266,3101,1,1
"17031171100","DUNNING",68,2931,1181,1,1
"17031180100","MONTCLARE",117,7174,3198,1,1
"17031190100","BELMONT CRAGIN",26,1400,536,1,1
"17031190200","BELMONT CRAGIN",69,3525,1734,1,1
"17031190300","BELMONT CRAGIN",84,4799,2065,1,1
"17031190401","BELMONT CRAGIN",71,4328,1898,1,1
"17031190402","BELMONT CRAGIN",79,4875,2074,1,1
"17031190601","BELMONT CRAGIN",54,3679,1630,1,1
"17031190602","BELMONT CRAGIN",77,7070,3011,1,1
"17031190701","BELMONT CRAGIN",30,1815,745,1,1
"17031190702","BELMONT CRAGIN",48,2939,1117,1,1
"17031190800","BELMONT CRAGIN",80,4514,2221,1,1
"17031190900","BELMONT CRAGIN",35,1562,733,1,1
"17031191000","BELMONT CRAGIN",49,2276,903,1,1
"17031191100","BELMONT CRAGIN",86,5653,2430,1,1
"17031191200","BELMONT CRAGIN",40,1510,570,1,1
"17031191301","BELMONT CRAGIN",76,5617,2509,1,1
"17031191302","BELMONT CRAGIN",71,4447,1633,1,1
"17031200100","HERMOSA",72,4016,1754,1,1
"17031200200","HERMOSA",68,4539,2212,1,1
"17031200300","HERMOSA",30,1709,755,1,1
"17031200401","HERMOSA",40,2490,1248,1,1
"17031200402","HERMOSA",44,2608,1148,1,1
"17031210100","AVONDALE",75,4833,2100,1,1
"17031210400","AVONDALE",32,1465,506,1,1
"17031210501","AVONDALE",44,2712,971,1,1
"17031210502","AVONDALE",41,2737,1252,1,1
"17031210601","AVONDALE",34,1983,892,1,1
"17031210602","AVONDALE",49,2188,894,1,1
"17031210700","AVONDALE",66,4583,2222,1,1
"17031210800","AVONDALE",27,1534,545,1,1
"17031210900","AVONDALE",68,4340,1985,1,1
"17031220300","LOGAN SQUARE",53,2434,1028,1,1
"17031220400","LOGAN SQUARE",50,2873,1186,1,1
"17031220500","LOGAN SQUARE",55,3106,1423,1,1
"17031220601","LOGAN SQUARE",27,1438,703,1,1
"17031220602","LOGAN SQUARE",66,3049,1541,1,1
"17031220701","LOGAN SQUARE",37,1998,835,1,1
"17031220702","LOGAN SQUARE",60,2111,849,1,1
"17031220901","LOGAN SQUARE",31,1827,831,1,1
"17031220902","LOGAN SQUARE",45,2260,888,1,1
"17031221000","LOGAN SQUARE",32,1546,623,1,1
"17031221100","LOGAN SQUARE",78,4844,2365,1,1
"17031221200","LOGAN SQUARE",39,1623,631,1,1
"17031221300","LOGAN SQUARE",47,2760,1237,1,1
"17031221400","LOGAN SQUARE",38,1906,726,1,1
"17031221500","LOGAN SQUARE",63,3773,1521,1,1
"17031221600","LOGAN SQUARE",74,4686,1866,1,1
"17031222200","LOGAN SQUARE",43,2244,1030,1,1
"17031222500","LOGAN SQUARE",17,870,351,1,1
"17031222600","LOGAN SQUARE",30,1484,739,1,1
"17031222700","LOGAN SQUARE",32,1759,667,1,1
"17031222800","LOGAN SQUARE",15,561,242,1,1
"17031222900","LOGAN SQUARE",26,1234,503,1,1
"17031230100","HUMBOLDT PARK",26,1147,441,0.898198903680501,0.878486055776892
"17031230100","LOGAN SQUARE",2,130,61,0.101801096319499,0.121513944223108
"17031230200","HUMBOLDT PARK",26,1646,955,1,1
"17031230300","HUMBOLDT PARK",12,2017,1177,1,1
"17031230400","HERMOSA",1,32,11,0.0194174757281553,0.0181818181818182
"17031230400","HUMBOLDT PARK",33,1616,594,0.980582524271845,0.981818181818182
"17031230500","HUMBOLDT PARK",48,2357,1069,1,1
"17031230600","AUSTIN",2,40,18,0.00625880143952433,0.00606673407482305
"17031230600","HUMBOLDT PARK",98,6351,2949,0.993741198560476,0.993933265925177
"17031230700","HUMBOLDT PARK",90,4731,2115,1,1
"17031230800","HUMBOLDT PARK",16,817,357,1,1
"17031230900","HUMBOLDT PARK",59,3553,1669,1,1
"17031231100","HUMBOLDT PARK",19,1092,460,1,1
"17031231200","HUMBOLDT PARK",81,4333,1661,1,1
"17031231500","HUMBOLDT PARK",137,6447,2779,1,1
"17031240200","WEST TOWN",30,1531,651,1,1
"17031240300","WEST TOWN",37,1441,600,1,1
"17031240500","WEST TOWN",28,1880,879,1,1
"17031240600","WEST TOWN",22,1108,443,1,1
"17031240700","WEST TOWN",23,1260,479,1,1
"17031240800","WEST TOWN",21,1525,618,1,1
"17031240900","WEST TOWN",38,2632,1109,1,1
"17031241000","WEST TOWN",26,1963,1173,1,1
"17031241100","WEST TOWN",44,2574,1381,1,1
"17031241200","WEST TOWN",31,2051,1150,1,1
"17031241300","WEST TOWN",26,1033,356,1,1
"17031241400","WEST TOWN",70,3553,1670,1,1
"17031241500","WEST TOWN",53,3402,1631,1,1
"17031241600","WEST TOWN",30,1247,614,1,1
"17031242000","WEST TOWN",40,2968,1666,1,1
"17031242100","WEST TOWN",58,3064,1372,1,1
"17031242200","WEST TOWN",53,2669,1109,1,1
"17031242300","WEST TOWN",61,2898,1302,1,1
"17031242400","WEST TOWN",47,2833,1184,1,1
"17031242500","WEST TOWN",38,2002,991,1,1
"17031242600","WEST TOWN",55,2529,1079,1,1
"17031242700","WEST TOWN",22,1449,592,1,1
"17031242800","WEST TOWN",47,3162,1667,1,1
"17031242900","WEST TOWN",46,2394,1013,1,1
"17031243000","WEST TOWN",31,1630,716,1,1
"17031243100","WEST TOWN",33,2312,1325,1,1
"17031243200","WEST TOWN",41,2405,1019,1,1
"17031243300","WEST TOWN",42,2433,1201,1,1
"17031243400","WEST TOWN",63,3373,1454,1,1
"17031243500","WEST TOWN",93,5978,3072,1,1
"17031250200","AUSTIN",42,2417,968,1,1
"17031250300","AUSTIN",72,4045,1894,1,1
"17031250400","AUSTIN",95,4702,2070,1,1
"17031250500","AUSTIN",177,8843,3774,1,1
"17031250600","AUSTIN",76,4822,2409,1,1
"17031250700","AUSTIN",83,4809,2039,1,1
"17031250800","AUSTIN",39,2436,990,1,1
"17031251000","AUSTIN",36,2724,1539,1,1
"17031251100","AUSTIN",54,3907,1989,1,1
"17031251200","AUSTIN",76,3505,1564,1,1
"17031251300","AUSTIN",70,4139,1763,1,1
"17031251400","AUSTIN",72,2612,1139,1,1
"17031251500","AUSTIN",70,3498,1513,1,1
"17031251600","AUSTIN",48,4449,2142,1,1
"17031251700","AUSTIN",52,2622,1229,1,1
"17031251800","AUSTIN",86,4674,2259,1,1
"17031251900","AUSTIN",74,3846,1537,1,1
"17031252000","AUSTIN",68,3808,1646,1,1
"17031252101","AUSTIN",30,1095,541,1,1
"17031252102","AUSTIN",56,3497,1474,1,1
"17031252201","AUSTIN",28,958,719,1,1
"17031252202","AUSTIN",62,3175,1611,1,1
"17031260100","WEST GARFIELD PARK",22,1030,450,1,1
"17031260200","WEST GARFIELD PARK",29,1272,589,1,1
"17031260300","WEST GARFIELD PARK",31,1804,826,1,1
"17031260400","WEST GARFIELD PARK",41,1076,399,1,1
"17031260500","WEST GARFIELD PARK",46,2663,1074,1,1
"17031260600","WEST GARFIELD PARK",35,2063,824,1,1
"17031260700","WEST GARFIELD PARK",37,2185,1064,1,1
"17031260800","WEST GARFIELD PARK",41,1898,832,1,1
"17031260900","WEST GARFIELD PARK",25,1083,534,1,1
"17031261000","WEST GARFIELD PARK",73,5042,2189,1,1
"17031270500","EAST GARFIELD PARK",47,2024,774,0.974482426576793,0.979746835443038
"17031270500","WEST GARFIELD PARK",2,53,16,0.0255175734232065,0.020253164556962
"17031271200","EAST GARFIELD PARK",46,2285,1019,1,1
"17031271300","EAST GARFIELD PARK",34,1762,820,1,1
"17031271400","EAST GARFIELD PARK",34,1620,695,1,1
"17031271500","EAST GARFIELD PARK",17,1125,478,1,1
"17031271800","EAST GARFIELD PARK",24,1176,610,1,1
"17031280100","NEAR WEST SIDE",71,3921,1716,1,1
"17031280400","NEAR WEST SIDE",44,2184,929,1,1
"17031280800","NEAR WEST SIDE",22,1311,496,1,1
"17031280900","NEAR WEST SIDE",8,284,124,1,1
"17031281900","NEAR WEST SIDE",50,4315,2691,1,1
"17031282700","NEAR WEST SIDE",50,2011,853,1,1
"17031282800","NEAR WEST SIDE",21,1121,459,1,1
"17031283100","NEAR WEST SIDE",17,1039,381,1,1
"17031283200","NEAR WEST SIDE",20,1009,390,1,1
"17031283800","NEAR WEST SIDE",17,406,201,1,1
"17031290900","NORTH LAWNDALE",94,4455,1840,1,1
"17031291200","NORTH LAWNDALE",34,2423,1222,1,1
"17031291600","NORTH LAWNDALE",20,979,339,1,1
"17031292200","NORTH LAWNDALE",48,2474,909,1,1
"17031292400","NORTH LAWNDALE",50,2714,1419,1,1
"17031292500","NORTH LAWNDALE",79,4180,1911,1,1
"17031300500","SOUTH LAWNDALE",33,1340,582,1,1
"17031300600","SOUTH LAWNDALE",37,1322,457,1,1
"17031300700","SOUTH LAWNDALE",40,2269,1165,1,1
"17031300800","SOUTH LAWNDALE",41,1938,826,1,1
