BLOCK,TRACT,CCA,TR_POP_RAT,TR_HH_RAT,TR_HU_RAT
170310105022006,17031010502,Rogers Park,0.022573363,0.021377672,0.020728008
170310105022000,17031010502,Rogers Park,0.126410835,0.116389549,0.109201213
170310105022004,17031010502,Rogers Park,0.030957756,0.027315914,0.023761375
170310105022007,17031010502,Rogers Park,0.048049016,0.06175772,0.054600607
170310105022003,17031010502,Rogers Park,0.044501774,0.037410926,0.035894843
170310105021008,17031010502,Rogers Park,0.026120606,0.027315914,0.023761375
170310105021002,17031010502,Rogers Park,0.01999355,0.014251781,0.015672396
170310105022010,17031010502,Rogers Park,0.027732989,0.032660333,0.030839232
170310105021006,17031010502,Rogers Park,0.075137053,0.06175772,0.11223458
170310105022005,17031010502,Rogers Park,0.065785231,0.095605701,0.09049545
170310105021004,17031010502,Rogers Park,0.045146727,0.048099762,0.041961577
170310105021011,17031010502,Rogers Park,0,0,0
170310105021009,17031010502,Rogers Park,0.02386327,0.024346793,0.022244692
170310105021003,17031010502,Rogers Park,0.017091261,0.016627078,0.015672396
170310105021012,17031010502,Rogers Park,0.04772654,0.048693587,0.043478261
170310105022001,17031010502,Rogers Park,0.073202193,0.08847981,0.091506572
170310105031010,17031010503,Rogers Park,0.036244541,0.023648649,0.021260997
170310105031009,17031010503,Rogers Park,0.031004367,0.024493243,0.023460411
170310105032005,17031010503,Rogers Park,0.026200873,0.02027027,0.017595308
170310105031016,17031010503,Rogers Park,0.0069869,0.005067568,0.013196481
170310105031001,17031010503,Rogers Park,0.006550218,0.005067568,0.004398827
170310105032011,17031010503,Rogers Park,0.031004367,0.021114865,0.020527859
170310105031007,17031010503,Rogers Park,0.020524017,0.018581081,0.018328446
170310105031004,17031010503,Rogers Park,0.02489083,0.02027027,0.019794721
170310105031008,17031010503,Rogers Park,0.028820961,0.026182432,0.024926686
170310105032008,17031010503,Rogers Park,0,0,0
170310105031003,17031010503,Rogers Park,0.01790393,0.013513514,0.012463343
170310105032004,17031010503,Rogers Park,0.031877729,0.029560811,0.028592375
170310105031015,17031010503,Rogers Park,0.022707424,0.016891892,0.016129032
170310105031005,17031010503,Rogers Park,0.044104803,0.032094595,0.032258065
170310105032012,17031010503,Rogers Park,0.012663755,0.010135135,0.009530792
170310105031012,17031010503,Rogers Park,0,0,0
170310105032002,17031010503,Rogers Park,0,0,0
170310105031002,17031010503,Rogers Park,0.031877729,0.016891892,0.014662757
170310105031006,17031010503,Rogers Park,0.213973799,0.336148649,0.329912023
170310105032006,17031010503,Rogers Park,0.073799127,0.103040541,0.096041056
170310105031014,17031010503,Rogers Park,0.020524017,0.015202703,0.013196481
170310105032009,17031010503,Rogers Park,0.045851528,0.049831081,0.046920821
170310105032001,17031010503,Rogers Park,0,0,0
170310105032003,17031010503,Rogers Park,0.03231441,0.028716216,0.029325513
170310105031013,17031010503,Rogers Park,0.036681223,0.028716216,0.029325513
170310105031011,17031010503,Rogers Park,0.036681223,0.027027027,0.025659824
170310105032010,17031010503,Rogers Park,0,0,0
170310105032007,17031010503,Rogers Park,0.099126638,0.037162162,0.041055718
170310105032000,17031010503,Rogers Park,0,0,0
